task_id,task_type,description,pre_tasks,requirements,affected_factors
11,Type C,Description task 11,"[31, 51, 18, 12, 1, 9, 78, 40, 61, 37, 70, 68, 6, 8, 38, 41, 79, 65, 3, 53, 69, 66, 5, 54, 55, 74, 62, 14, 20, 58, 25, 33, 30, 75, 32, 27, 77, 47, 16, 60, 4, 48, 22, 76, 42, 34, 64, 71, 23, 73, 29, 10, 50, 56, 67, 19, 15, 35, 24, 63]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 2], [3, ""Product"", 1], [4, ""Product"", 5], [5, ""Product"", 1], [6, ""Product"", 3], [7, ""Product"", 1], [8, ""Product"", 4], [9, ""Product"", 1], [10, ""Product"", 1], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 3], [15, ""Environment"", 1], [16, ""Environment"", 4], [17, ""Environment"", 4], [18, ""Environment"", 2], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
12,Type A,Description task 12,"[59, 40, 70, 69, 21, 47, 43, 49, 19, 42, 15, 14, 22, 2, 48, 62, 68, 58, 39, 71, 46, 6, 9, 80, 72, 77, 51, 11, 8, 25, 24, 37, 5, 41, 74, 75, 63, 52, 55, 76, 66, 17, 32, 35, 67, 30, 28, 60, 44, 31, 56, 23, 7, 73, 38, 27, 79, 78, 34, 33]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 1], [3, ""Product"", 5], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 4], [7, ""Product"", 4], [8, ""Product"", 2], [9, ""Product"", 3], [10, ""Product"", 5], [11, ""Environment"", 3], [12, ""Environment"", 2], [13, ""Environment"", 5], [14, ""Environment"", 4], [15, ""Environment"", 1], [16, ""Environment"", 1], [17, ""Environment"", 3], [18, ""Environment"", 2], [19, ""Environment"", 1], [20, ""Environment"", 2]]"
13,Type C,Description task 13,"[67, 55, 49, 72, 39, 73, 26, 10, 75, 17, 43, 19, 41, 33, 5, 77, 51, 70, 31, 63, 15, 1, 74, 7, 45, 53, 40, 58, 32, 61, 8, 60, 62, 80, 47, 21, 44, 36, 28, 35, 66, 50, 76, 20, 56, 57, 24, 37, 25, 59, 69, 27, 48, 9, 16, 29, 42, 30, 11, 22]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 2], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 4], [6, ""Product"", 1], [7, ""Product"", 4], [8, ""Product"", 1], [9, ""Product"", 2], [10, ""Product"", 5], [11, ""Environment"", 3], [12, ""Environment"", 2], [13, ""Environment"", 3], [14, ""Environment"", 5], [15, ""Environment"", 2], [16, ""Environment"", 2], [17, ""Environment"", 1], [18, ""Environment"", 5], [19, ""Environment"", 4], [20, ""Environment"", 5]]"
14,Type A,Description task 14,"[61, 78, 56, 59, 21, 62, 39, 33, 26, 18, 11, 37, 32, 57, 50, 54, 69, 52, 22, 2, 10, 44, 46, 60, 75, 23, 13, 17, 73, 8, 35, 64, 77, 67, 49, 9, 36, 5, 7, 34, 28, 4, 6, 70, 53, 20, 58, 43, 79, 38, 1, 72, 45, 68, 41, 3, 66, 16, 48, 80]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 3], [4, ""Product"", 4], [5, ""Product"", 2], [6, ""Product"", 2], [7, ""Product"", 3], [8, ""Product"", 1], [9, ""Product"", 3], [10, ""Product"", 3], [11, ""Environment"", 1], [12, ""Environment"", 5], [13, ""Environment"", 2], [14, ""Environment"", 5], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 2], [18, ""Environment"", 4], [19, ""Environment"", 3], [20, ""Environment"", 2]]"
15,Type C,Description task 15,"[74, 71, 4, 80, 19, 33, 65, 76, 75, 60, 21, 23, 2, 7, 70, 53, 32, 10, 12, 57, 6, 28, 52, 55, 44, 45, 36, 18, 58, 34, 67, 50, 73, 61, 64, 77, 79, 49, 51, 62, 20, 43, 40, 59, 17, 25, 42, 29, 72, 54, 27, 5, 38, 48, 63, 3, 56, 46, 35, 14]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 1], [4, ""Product"", 2], [5, ""Product"", 4], [6, ""Product"", 5], [7, ""Product"", 1], [8, ""Product"", 4], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 4], [12, ""Environment"", 5], [13, ""Environment"", 4], [14, ""Environment"", 3], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 4], [18, ""Environment"", 3], [19, ""Environment"", 5], [20, ""Environment"", 3]]"
16,Type B,Description task 16,"[68, 45, 1, 65, 60, 17, 32, 55, 19, 53, 54, 69, 7, 22, 11, 73, 14, 30, 59, 3, 62, 63, 26, 29, 34, 57, 66, 64, 23, 41, 25, 52, 10, 37, 76, 70, 44, 15, 78, 31, 67, 47, 40, 21, 50, 8, 72, 58, 56, 18, 35, 43, 4, 9, 36, 12, 2, 28, 6, 51]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 1], [3, ""Product"", 5], [4, ""Product"", 3], [5, ""Product"", 2], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 2], [9, ""Product"", 2], [10, ""Product"", 5], [11, ""Environment"", 1], [12, ""Environment"", 4], [13, ""Environment"", 1], [14, ""Environment"", 1], [15, ""Environment"", 4], [16, ""Environment"", 5], [17, ""Environment"", 4], [18, ""Environment"", 3], [19, ""Environment"", 2], [20, ""Environment"", 1]]"
17,Type A,Description task 17,"[5, 40, 31, 54, 30, 45, 1, 43, 4, 24, 28, 42, 66, 80, 67, 39, 29, 60, 46, 56, 70, 50, 74, 58, 61, 52, 44, 57, 3, 32, 37, 78, 33, 55, 19, 26, 38, 13, 79, 76, 36, 2, 8, 22, 75, 63, 15, 65, 53, 72, 9, 25, 35, 71, 34, 14, 64, 62, 18, 41]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 1], [4, ""Product"", 3], [5, ""Product"", 4], [6, ""Product"", 1], [7, ""Product"", 1], [8, ""Product"", 1], [9, ""Product"", 2], [10, ""Product"", 4], [11, ""Environment"", 5], [12, ""Environment"", 2], [13, ""Environment"", 5], [14, ""Environment"", 4], [15, ""Environment"", 2], [16, ""Environment"", 1], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 5], [20, ""Environment"", 1]]"
18,Type A,Description task 18,"[60, 27, 39, 16, 23, 75, 12, 58, 32, 78, 22, 36, 37, 69, 34, 28, 54, 38, 9, 40, 66, 17, 30, 52, 67, 47, 76, 46, 41, 71, 61, 15, 14, 74, 8, 65, 77, 62, 3, 79, 31, 29, 64, 2, 13, 21, 51, 63, 56, 45, 19, 72, 24, 11, 25, 33, 35, 49, 7, 20]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 4], [3, ""Product"", 2], [4, ""Product"", 1], [5, ""Product"", 5], [6, ""Product"", 4], [7, ""Product"", 5], [8, ""Product"", 3], [9, ""Product"", 3], [10, ""Product"", 4], [11, ""Environment"", 4], [12, ""Environment"", 3], [13, ""Environment"", 4], [14, ""Environment"", 1], [15, ""Environment"", 4], [16, ""Environment"", 2], [17, ""Environment"", 3], [18, ""Environment"", 2], [19, ""Environment"", 5], [20, ""Environment"", 5]]"
19,Type A,Description task 19,"[12, 3, 21, 15, 16, 66, 24, 23, 60, 70, 71, 48, 57, 52, 63, 46, 61, 10, 69, 5, 11, 39, 76, 27, 80, 41, 26, 72, 54, 59, 9, 50, 33, 7, 8, 77, 20, 64, 6, 53, 73, 40, 65, 67, 68, 31, 29, 74, 32, 79, 22, 36, 51, 14, 62, 78, 18, 45, 25, 28]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 4], [4, ""Product"", 5], [5, ""Product"", 2], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 2], [9, ""Product"", 1], [10, ""Product"", 1], [11, ""Environment"", 5], [12, ""Environment"", 1], [13, ""Environment"", 2], [14, ""Environment"", 2], [15, ""Environment"", 2], [16, ""Environment"", 2], [17, ""Environment"", 1], [18, ""Environment"", 2], [19, ""Environment"", 2], [20, ""Environment"", 3]]"
20,Type C,Description task 20,"[2, 24, 11, 23, 53, 41, 18, 39, 28, 57, 46, 50, 71, 29, 80, 70, 60, 59, 8, 37, 77, 61, 54, 42, 67, 56, 66, 36, 43, 49, 16, 38, 6, 4, 75, 19, 10, 9, 69, 73, 58, 68, 13, 22, 35, 15, 47, 34, 51, 65, 52, 64, 78, 48, 14, 7, 25, 30, 27, 33]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 1], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 4], [7, ""Product"", 4], [8, ""Product"", 1], [9, ""Product"", 2], [10, ""Product"", 2], [11, ""Environment"", 5], [12, ""Environment"", 4], [13, ""Environment"", 3], [14, ""Environment"", 2], [15, ""Environment"", 3], [16, ""Environment"", 4], [17, ""Environment"", 1], [18, ""Environment"", 2], [19, ""Environment"", 2], [20, ""Environment"", 2]]"
21,Type A,Description task 21,"[78, 27, 5, 76, 47, 54, 34, 43, 8, 35, 15, 48, 69, 33, 44, 28, 1, 10, 30, 53, 55, 80, 57, 12, 77, 74, 20, 49, 40, 38, 18, 70, 39, 79, 73, 2, 42, 72, 6, 36, 59, 7, 63, 41, 67, 23, 68, 17, 13, 14, 26, 46, 16, 9, 58, 22, 56, 65, 51, 32]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 5], [3, ""Product"", 1], [4, ""Product"", 1], [5, ""Product"", 4], [6, ""Product"", 2], [7, ""Product"", 3], [8, ""Product"", 5], [9, ""Product"", 2], [10, ""Product"", 2], [11, ""Environment"", 3], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 4], [15, ""Environment"", 4], [16, ""Environment"", 3], [17, ""Environment"", 2], [18, ""Environment"", 1], [19, ""Environment"", 5], [20, ""Environment"", 2]]"
22,Type C,Description task 22,"[54, 24, 10, 1, 80, 33, 37, 69, 19, 40, 35, 16, 73, 65, 74, 9, 32, 6, 47, 78, 2, 46, 79, 4, 26, 51, 61, 75, 39, 72, 36, 52, 3, 66, 42, 48, 70, 58, 53, 15, 71, 67, 23, 44, 17, 7, 30, 38, 57, 18, 12, 63, 29, 27, 41, 45, 50, 64, 43, 60]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 3], [3, ""Product"", 3], [4, ""Product"", 5], [5, ""Product"", 2], [6, ""Product"", 3], [7, ""Product"", 1], [8, ""Product"", 3], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 5], [12, ""Environment"", 3], [13, ""Environment"", 4], [14, ""Environment"", 5], [15, ""Environment"", 2], [16, ""Environment"", 2], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 2], [20, ""Environment"", 5]]"
23,Type B,Description task 23,"[61, 17, 33, 40, 42, 3, 80, 27, 72, 58, 8, 52, 13, 74, 64, 14, 24, 78, 47, 51, 49, 56, 55, 68, 18, 35, 77, 66, 9, 37, 19, 20, 16, 44, 6, 65, 48, 75, 34, 26, 12, 53, 36, 39, 73, 59, 43, 50, 67, 71, 30, 22, 54, 76, 45, 69, 63, 38, 5, 41]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 4], [3, ""Product"", 3], [4, ""Product"", 5], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 3], [9, ""Product"", 5], [10, ""Product"", 4], [11, ""Environment"", 4], [12, ""Environment"", 4], [13, ""Environment"", 5], [14, ""Environment"", 4], [15, ""Environment"", 2], [16, ""Environment"", 1], [17, ""Environment"", 3], [18, ""Environment"", 4], [19, ""Environment"", 2], [20, ""Environment"", 4]]"
24,Type A,Description task 24,"[56, 11, 38, 12, 26, 32, 27, 34, 53, 66, 72, 37, 51, 75, 80, 73, 10, 76, 63, 46, 35, 61, 33, 29, 39, 22, 18, 71, 43, 30, 6, 8, 70, 79, 28, 40, 44, 52, 68, 67, 19, 69, 21, 47, 23, 4, 55, 36, 48, 50, 54, 49, 41, 42, 60, 9, 2, 58, 62, 20]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 5], [3, ""Product"", 3], [4, ""Product"", 3], [5, ""Product"", 1], [6, ""Product"", 5], [7, ""Product"", 5], [8, ""Product"", 2], [9, ""Product"", 5], [10, ""Product"", 1], [11, ""Environment"", 2], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 2], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 5], [18, ""Environment"", 5], [19, ""Environment"", 5], [20, ""Environment"", 1]]"
25,Type C,Description task 25,"[57, 19, 59, 23, 68, 15, 3, 28, 67, 80, 5, 24, 44, 13, 58, 55, 66, 8, 14, 70, 21, 12, 43, 6, 60, 27, 69, 64, 32, 30, 40, 16, 41, 39, 76, 4, 62, 78, 7, 35, 61, 56, 11, 73, 52, 2, 10, 63, 74, 45, 26, 49, 79, 33, 20, 53, 22, 1, 34, 48]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 3], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 3], [6, ""Product"", 2], [7, ""Product"", 3], [8, ""Product"", 3], [9, ""Product"", 2], [10, ""Product"", 4], [11, ""Environment"", 4], [12, ""Environment"", 4], [13, ""Environment"", 2], [14, ""Environment"", 5], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 2], [18, ""Environment"", 5], [19, ""Environment"", 5], [20, ""Environment"", 2]]"
26,Type A,Description task 26,"[17, 56, 63, 34, 29, 35, 39, 5, 10, 15, 52, 77, 33, 78, 41, 79, 55, 37, 51, 28, 73, 72, 61, 19, 75, 1, 62, 9, 14, 2, 22, 65, 11, 3, 67, 44, 69, 18, 71, 40, 47, 58, 30, 12, 66, 49, 6, 4, 43, 76, 36, 7, 57, 59, 27, 13, 24, 32, 48, 42]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 5], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 3], [6, ""Product"", 4], [7, ""Product"", 1], [8, ""Product"", 2], [9, ""Product"", 5], [10, ""Product"", 1], [11, ""Environment"", 1], [12, ""Environment"", 2], [13, ""Environment"", 3], [14, ""Environment"", 5], [15, ""Environment"", 1], [16, ""Environment"", 2], [17, ""Environment"", 3], [18, ""Environment"", 5], [19, ""Environment"", 3], [20, ""Environment"", 3]]"
27,Type B,Description task 27,"[80, 34, 49, 38, 39, 40, 22, 21, 77, 1, 73, 51, 57, 64, 14, 50, 62, 67, 9, 42, 23, 18, 25, 41, 58, 45, 71, 8, 2, 31, 79, 13, 72, 10, 37, 36, 55, 16, 29, 59, 61, 19, 74, 20, 56, 24, 60, 11, 53, 47, 54, 63, 68, 15, 43, 5, 48, 32, 78, 52]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 5], [3, ""Product"", 1], [4, ""Product"", 1], [5, ""Product"", 2], [6, ""Product"", 5], [7, ""Product"", 2], [8, ""Product"", 3], [9, ""Product"", 5], [10, ""Product"", 3], [11, ""Environment"", 2], [12, ""Environment"", 2], [13, ""Environment"", 4], [14, ""Environment"", 2], [15, ""Environment"", 1], [16, ""Environment"", 1], [17, ""Environment"", 5], [18, ""Environment"", 4], [19, ""Environment"", 4], [20, ""Environment"", 5]]"
28,Type C,Description task 28,"[55, 34, 45, 9, 38, 13, 36, 59, 44, 77, 41, 42, 22, 35, 11, 69, 73, 27, 39, 48, 47, 18, 66, 3, 20, 24, 68, 65, 10, 76, 62, 17, 2, 49, 32, 51, 26, 25, 30, 6, 33, 37, 54, 67, 74, 23, 56, 5, 4, 15, 75, 79, 78, 16, 64, 1, 57, 29, 50, 80]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 5], [4, ""Product"", 5], [5, ""Product"", 3], [6, ""Product"", 5], [7, ""Product"", 3], [8, ""Product"", 5], [9, ""Product"", 2], [10, ""Product"", 3], [11, ""Environment"", 4], [12, ""Environment"", 2], [13, ""Environment"", 4], [14, ""Environment"", 2], [15, ""Environment"", 5], [16, ""Environment"", 5], [17, ""Environment"", 1], [18, ""Environment"", 4], [19, ""Environment"", 5], [20, ""Environment"", 3]]"
29,Type C,Description task 29,"[12, 67, 8, 68, 17, 2, 19, 76, 52, 77, 27, 16, 79, 48, 13, 51, 20, 5, 4, 59, 71, 28, 37, 53, 23, 11, 65, 50, 38, 22, 14, 35, 33, 9, 47, 66, 34, 30, 32, 45, 43, 21, 10, 55, 63, 54, 42, 6, 56, 26, 57, 46, 3, 36, 24, 74, 62, 44, 39, 64]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 1], [3, ""Product"", 1], [4, ""Product"", 5], [5, ""Product"", 4], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 5], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 2], [12, ""Environment"", 5], [13, ""Environment"", 3], [14, ""Environment"", 5], [15, ""Environment"", 3], [16, ""Environment"", 4], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 4], [20, ""Environment"", 4]]"
